rheobase_sweep_num,thumbnail_sweep_num,vrest,ri,sag,tau,vm_for_sag,f_i_curve_slope,adaptation,latency,avg_isi,upstroke_downstroke_ratio_long_square,peak_v_long_square,peak_t_long_square,trough_v_long_square,trough_t_long_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_long_square,threshold_i_long_square,threshold_t_long_square,upstroke_downstroke_ratio_ramp,peak_v_ramp,peak_t_ramp,trough_v_ramp,trough_t_ramp,fast_trough_v_ramp,fast_trough_t_ramp,slow_trough_v_ramp,slow_trough_t_ramp,threshold_v_ramp,threshold_i_ramp,threshold_t_ramp,upstroke_downstroke_ratio_short_square,peak_v_short_square,peak_t_short_square,trough_v_short_square,trough_t_short_square,fast_trough_v_short_square,fast_trough_t_short_square,slow_trough_v_short_square,slow_trough_t_short_square,threshold_v_short_square,threshold_i_short_square,threshold_t_short_square,ID
50,53,-60.05748825073242,99.99991953372955,0.03600524365901947,9.65370896245366,-70.09375,0.12000000076292888,0.13139569643735202,0.029100000000000015,190.67999999999998,5.31749926824401,32.29999923706055,0.58996,-49.64375305175781,0.60044,-48.1875,0.5963200000000001,,,-31.80000114440918,220,0.5895,5.216674909168745,31.075000762939453,7.67963,-43.953128814697266,7.68784,-42.88750457763672,7.684400000000001,-43.953128814697266,7.68784,-29.543750762939453,179.5,7.679130000000001,3.564488024596151,37.70758819580078,0.5033057142857144,-60.698211669921875,1.054292857142857,-53.622772216796875,0.5096371428571429,,,-34.55268096923828,680.0,0.50293,sub-1001658946_ses-1003020741_icephys.nwb
13,23,-74.31213064754711,144.90631222724915,0.013105861842632294,6.949417659794725,-92.79374694824219,1.0925413825586825,0.005364946172689102,0.01548000000000005,15.61142857142857,1.6181245300048,23.737499237060547,0.61232,-53.681251525878906,0.61622,-53.381248474121094,0.61328,,,-37.32500076293945,59.999996185302734,0.61194,1.5483965477426789,21.662500381469727,2.8923866666666664,-56.33125305175781,2.8946733333333334,-56.02083206176758,2.893406666666667,,,-37.29166793823242,59.875,2.8920266666666663,1.5944996239326668,24.681251525878906,0.50348,-75.01874542236328,1.00488,-57.5,0.50442,,,-45.150001525878906,330.0,0.50314,sub-1001658958_ses-1003305489_icephys.nwb
22,26,-69.91747561368075,141.2133127450943,0.022894227877259254,7.493901706226757,-85.88749694824219,0.2850000000000005,0.0864711523571118,0.018920000000000048,23.799999999999986,1.7725388358777066,17.924999237060547,0.5355800000000001,-48.89374923706055,0.53966,-48.493751525878906,0.53684,,,-33.037498474121094,130,0.53522,1.6272760325256082,12.018750190734863,7.931613333333332,-49.866668701171875,7.934666666666668,-48.86874771118164,7.933166666666668,-49.86666997273763,7.934666666666668,-31.43541717529297,185.8333282470703,7.9312000000000005,1.8470683106879104,20.956249237060547,0.50331,-71.42813110351562,1.2188599999999998,-52.08125305175781,0.5044200000000001,,,-42.993751525878906,450.0,0.50298,sub-1001658958_ses-1003313230_icephys.nwb
18,21,-71.79330902099609,51.71878635883331,0.03903678432106972,7.60178876140701,-88.25,0.8249999999999985,0.011440617638897857,0.014800000000000035,25.22769230769231,2.018932359862537,22.268749237060547,0.53472,-48.39375305175781,0.53956,-47.099998474121094,0.53624,-48.39375305175781,0.53956,-30.799999237060547,150,0.5343600000000001,1.8644083029797371,15.514583587646484,7.406126666666666,-47.991668701171875,7.410340000000001,-46.95833206176758,7.408293333333333,-47.991668701171875,7.410340000000001,-27.931249618530273,172.7083282470703,7.405693333333333,1.9598493095762928,27.531251907348633,0.50344,-72.03125,1.59734,-51.618751525878906,0.5050600000000001,,,-37.80000305175781,469.9999694824219,0.50312,sub-1001658958_ses-1003321768_icephys.nwb
18,20,-65.80290104792668,122.78129160404205,0.05034862458705902,8.369469979953918,-79.42500305175781,1.1700934579439242,0.0029458985104105612,0.007240000000000024,14.695522388059699,1.6068117327137428,25.95625114440918,0.5153800000000001,-46.92499923706055,0.51646,-46.86250305175781,0.5164,,,-27.181251525878906,300,0.515,1.0652975460457208,12.020833015441895,14.323313333333333,-40.91250228881836,14.324813333333333,-40.86666615804037,14.3247,,,-18.30208396911621,345.625,14.322846666666669,1.7407777184472182,31.55000114440918,0.5033,-65.70624542236328,1.1560599999999999,-50.07500076293945,0.50446,,,-36.63750457763672,580.0,0.5029600000000001,sub-1001658958_ses-1003336912_icephys.nwb
9,38,-73.26687177022298,222.91657328605652,0.013307712972164154,11.688679277244185,-99.6875,0.061512414811283174,0.14876404494382187,0.034440000000000026,22.249999999999993,3.10334459360971,22.25,0.6414,-45.0,0.64432,-44.625003814697266,0.64354,,,-33.843753814697266,29.999998092651367,0.6409,2.9919861202234457,22.031251907348633,1.6556799999999998,-45.750003814697266,1.6786599999999998,-44.96875,1.6579800000000002,-45.750003814697266,1.6786599999999998,-32.40625,29.0,1.65518,3.0346967855888436,37.04166793823242,0.5035166666666666,-74.22396087646484,1.1846866666666667,-49.94791793823242,0.5056833333333334,,,-34.875,410.0,0.50312,sub-599387254_ses-601506492_icephys.nwb
9,46,-70.28506469726562,224.73958134651184,0.20366299152374268,19.439218495587003,-96.31250762939453,0.3502451113354124,0.0904005236379763,0.03815999999999997,51.815,1.9341827104659763,18.0625,0.6346400000000001,-54.25,0.6360399999999999,-54.218753814697266,0.63602,,,-41.25,90,0.63422,1.787579371588107,16.135417938232422,5.16096,-52.22916793823242,5.16242,-52.10417048136393,5.162326666666666,-50.76041793823242,5.174453333333333,-36.0625,116.58333587646484,5.160513333333333,1.8988527970316225,8.388392448425293,0.5035171428571429,-70.90625762939453,1.0216514285714287,-57.763397216796875,0.5052514285714286,,,-40.3303587777274,620.0,0.50312,sub-601462915_ses-602535253_icephys.nwb
13,34,-73.14400982034617,723.7712144851685,0.1553562581539154,35.42413733555783,-96.78125,0.02798713238987988,0.18786588610964072,0.013600000000000056,18.789999999999974,2.1847484488719253,25.875001907348633,0.54308,-61.687503814697266,0.54532,-61.468753814697266,0.54498,,,-50.031253814697266,29.999998092651367,0.5424800000000001,1.0200931249530873,5.15625,5.14492,-52.0,5.147,-51.9375,5.14698,,,-36.562503814697266,116.125,5.14372,2.1379529188692614,24.61458396911621,0.5032466666666666,-73.88541920979817,1.24221,-62.91146469116211,0.5052433333333334,,,-50.77083651224772,239.99998474121094,0.5027233333333333,sub-601462926_ses-602231628_icephys.nwb
35,37,-80.4909348487854,157.421812415123,0.035202305763959885,17.486279477978865,-98.50000762939453,0.3923828972919164,0.20960533746599339,0.028739999999999988,120.85714285714288,2.1004362061918354,6.78125,0.5824400000000001,-68.25,0.58388,-68.03125,0.5837399999999999,,,-54.093753814697266,110,0.58206,2.085217661323285,13.71875,5.38462,-66.8125,5.38602,-66.6875,5.3859,,,-52.15625,122.12500762939453,5.38422,2.0202490701411695,11.229166984558105,0.5033333333333333,-81.07291412353516,1.0667933333333333,-70.84375762939453,0.5045733333333333,,,-54.6875,560.0,0.5029866666666666,sub-601462951_ses-601790945_icephys.nwb
14,53,-65.99248123168945,176.53851211071014,0.21268446743488312,21.391957078227776,-87.59375762939453,0.1420991852938709,,0.09187999999999996,,1.9883578894113847,38.125,0.79508,-49.625,0.81426,-49.000003814697266,0.79602,,,-33.28125,90,0.7947200000000001,1.9220118387437508,38.4375,4.38864,-49.500003814697266,4.38966,-49.375,4.38956,-49.406253814697266,4.406,-33.375003814697266,97.25,4.3883,1.8377731602309764,36.234375,0.503385,-66.93750190734863,0.8579700000000001,-52.15625,0.504265,,,-36.882816314697266,830.0,0.50307,sub-601462951_ses-601803733_icephys.nwb
