"data","Val0","Val1","Val2","Val3","Val4","Val5","Val6","Val7","Val8","Val9","Val10","Val11","Val12","Val13","Val14","Val15","Val16","Val17","Val18","Val19","ttype","cellnames","gmm_cluster"
"Expr",0.00787943025807994,-0.000336489762541277,0.00218822028287541,-0.00245026571375269,-0.00655749881878033,0.0123954530491185,-0.0014335125475728,0.00192082447029629,-0.00541264284179791,0.0047434191220099,0.00381071236828311,-0.00301047701344015,0.00145058434712935,0.00412201860804388,0.00893024395548644,-0.0133242778262269,0.00377398622794812,-0.00630210444995034,0.00497685444723883,0.0161660783987518,"Sst","PS0817_E1-50_S19",5
"Expr",0.000573550239491318,0.0126147782134026,-0.00607749141655544,-0.00175612939526782,-0.00462526151336175,0.0385986310336321,0.00275628903694492,0.00583520385346368,0.00238045880454925,0.00470993173940195,0.00139618405245186,-0.00998091653650995,0.00671459287006192,-0.00230271310732785,-0.0105649906940415,-0.00727861536387377,0.00339167393997847,0.00136730904325175,-0.0221464784850691,-0.0112851444387978,"Sst","PS0817_E1-50_S26",3
"Expr",-0.000129879903950805,0.0136641332703735,-0.00699044055391309,-0.00414589463399328,-0.00351334736698914,0.0137671899516732,-0.00755518281221362,-0.00796669679626433,-0.00229780255025348,-0.00153415753315296,-0.00755935176439937,-0.0169909058379352,0.00339478781249638,0.00593822846810057,-0.00641604580015029,0.0133870908856139,-0.00785622978728285,0.000537610910796672,-0.0248072710300391,-0.00529336995363605,"Sst","PS0817_E1-50_S27",3
"Expr",-0.000602264363335439,0.0143599399564281,-0.0083455759734581,-0.00746418190862093,-0.00290557843178202,-0.00856861330966113,-0.00647043046423,-0.00696323629623843,-0.00445210342761838,0.00014688064148097,0.0115997185105262,0.0289648806794543,0.00804892365271924,0.0197821655369991,-0.0126248027774935,0.00705183107725865,-0.00104456699288974,-0.00204751482151675,-0.00409785004706944,0.00766832449575244,"Sst","PS0817_E1-50_S28",3
"Expr",0.00110176849291338,0.0142655195132482,-0.00652603434223459,-0.00164830010542271,-0.00979280356940034,0.0307253871895272,-0.00966725795000116,-0.00732569697592762,-0.00347023588156383,-1.32794404110819e-05,-0.000904898494755561,-0.00813466897560863,0.00927557375136043,0.00596346546290543,-0.011402698411272,-0.00109006548156538,-0.00176219233752995,0.000333381481658742,-0.0420715932371956,-0.0150235866631955,"Sst","PS0817_E1-50_S46",3
"Expr",-0.000454414625217368,0.0123305166924144,-0.00621394625584246,-0.00553072935411654,-0.00365648229330392,0.0137493882878406,-0.000248666642861583,-0.00153886038294959,-0.000382865407120347,0.000736729377418131,-0.00535368235960473,-0.0123446416928264,-0.00128723183212595,0.00744073754666649,-0.00435701752898443,0.0147794016591629,-0.00852766898099375,0.00131878266671567,-0.0197728902587451,-0.00817222033431708,"Sst","PS0817_E1-50_S52",3
"Expr",0.0128560244679533,-0.00325220843166822,0.0170660728173306,-0.00495269600545066,0.012020070197736,0.0013493732891095,-0.00672270230144678,-0.00270896592153608,0.00625230155858777,0.000937947708989378,0.00590056708077721,0.00587596282974126,0.000393896182834253,0.00278088733753118,-0.000852359099914792,0.000151025212857567,-0.0116913919636258,0.00353915697980326,-0.00544496856502227,-0.00293289844522177,"Vip","PS0830_E1-50_S17",1
"Expr",0.0123710422338815,-0.0015831955286851,0.016414262659413,0.000158414931451276,-0.00961039939702586,-0.00552192258835433,-0.00746707783457564,-0.00312777401067573,0.0241701571685228,-0.00233925701553622,0.0047284320581184,0.0077305524706832,-0.0182794611667136,-0.0260625632368354,-0.0211705832041653,0.0131298109554487,0.00504522453646968,0.00690683517821513,-0.00503199562397298,0.00595537260603895,"Vip","PS0830_E1-50_S26",1
"Expr",-0.0182804260058986,-0.0100350857709622,0.00449304421718274,0.002187849156135,0.000307681926801756,0.000800667268354162,0.0289890130094698,-0.0441855704073535,0.0043163199764899,0.0301102737758442,0.00347360586413466,-0.000893844065122547,0.00794361707873206,-0.00759120435490988,0.00191146557958375,0.000356453347889017,-0.0002611132596543,0.000561596256987423,-0.00274143404756974,0.00887971587920028,"Pvalb","PS0830_E1-50_S70",5
"Expr",-0.0139723753397654,-0.00758147320588663,0.0042803079259826,-0.000269647598098315,0.00191185440919387,0.00207872130692703,0.00906602526802442,-0.00424479245871003,0.00529386803369048,-0.000417269373058617,-0.00905027160594979,-0.000158700284101518,-0.035300059084514,0.0264959246485512,-0.011833169821138,-0.0200055272783647,0.00404202883563433,-0.000694666399667517,-0.000860954753802686,0.00495228829751305,"Pvalb","PS0830_E1-50_S83",5
