"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
3.8047819923752e-46,0.92675920618209,0.803,0.306,4.89294964219451e-43,"Cluster 2","Lmo7"
9.2426774786762e-46,0.800069151035518,0.995,0.771,1.18860832375776e-42,"Cluster 2","Arpp19"
1.03621919929373e-44,1.0258961870382,0.835,0.368,1.33257789029174e-41,"Cluster 2","Dkk3"
1.23158484313501e-44,0.814895939984952,0.986,0.681,1.58381810827163e-41,"Cluster 2","Pcsk2"
1.88483314016632e-44,0.989405919643609,0.748,0.281,2.42389541825389e-41,"Cluster 2","Mapk4"
1.01202513859204e-43,0.87562721741726,0.931,0.569,1.30146432822936e-40,"Cluster 2","Mast3"
1.78744622221031e-43,0.884610237985943,0.702,0.252,2.29865584176246e-40,"Cluster 2","Ext1"
5.31830868316146e-43,0.863472302672864,0.739,0.26,6.83934496654564e-40,"Cluster 2","Dpy19l1"
7.56975426350389e-43,1.0628020537114,0.725,0.274,9.734703982866e-40,"Cluster 2","Lamp5"
1.82252636291136e-42,0.786707373737086,0.904,0.421,2.34376890270401e-39,"Cluster 2","Ano3"
1.89473934080178e-42,0.872859788433611,0.683,0.233,2.43663479227109e-39,"Cluster 2","Kcnh3"
6.36634239806145e-42,0.891049901886007,0.959,0.658,8.18711632390702e-39,"Cluster 2","Rgs4"
1.20516388169692e-41,0.949803852562701,0.739,0.294,1.54984075186224e-38,"Cluster 2","Enc1"
4.11312996073794e-40,0.810915140839677,0.775,0.333,5.28948512950899e-37,"Cluster 2","Npas2"
1.78245728677054e-39,0.942759214473095,0.844,0.425,2.29224007078692e-36,"Cluster 2","Nptxr"
3.1468168936955e-39,0.898288202898787,0.734,0.281,4.04680652529241e-36,"Cluster 2","Fstl4"
5.26616553569218e-39,0.909458513656071,0.881,0.519,6.77228887890015e-36,"Cluster 2","Nefm"
1.99908093062468e-38,1.00130499820729,0.596,0.197,2.57081807678333e-35,"Cluster 2","Meis2"
3.4968874622358e-38,0.800056640708305,0.922,0.559,4.49699727643524e-35,"Cluster 2","Pgm2l1"
4.22659087628528e-38,0.838902647537774,0.83,0.416,5.43539586690286e-35,"Cluster 2","Rap1gap2"
1.08254909767145e-37,0.784934731545579,0.963,0.651,1.39215813960548e-34,"Cluster 2","Cck"
1.40822177959125e-37,0.836966461501522,0.894,0.518,1.81097320855435e-34,"Cluster 2","Ngef"
1.93748143014283e-37,0.779257554326572,0.867,0.471,2.49160111916368e-34,"Cluster 2","Csmd2"
3.41009423870528e-37,0.729320327888396,0.945,0.746,4.38538119097499e-34,"Cluster 2","Ptprd"
6.64228875476796e-37,0.89070536679431,0.826,0.427,8.5419833386316e-34,"Cluster 2","Dgkb"
1.27614491228197e-36,0.837752140413487,0.482,0.117,1.64112235719461e-33,"Cluster 2","Csgalnact1"
1.69125573427003e-36,0.709370985658681,0.954,0.559,2.17495487427126e-33,"Cluster 2","Cacna1e"
1.91362479956684e-36,0.72829516270652,0.358,0.061,2.46092149224295e-33,"Cluster 2","Ntng2"
1.99109868538654e-36,0.780536087086167,0.917,0.543,2.56055290940709e-33,"Cluster 2","Nlgn1"
6.31904090095835e-36,0.552895064937689,0.995,0.895,8.12628659863244e-33,"Cluster 2","Celf2"
2.42664704294742e-35,0.884003130130599,0.583,0.195,3.12066809723038e-32,"Cluster 2","Ryr1"
4.7684072784899e-35,0.67643143644901,0.931,0.564,6.13217176013802e-32,"Cluster 2","Khdrbs3"
1.25857092782147e-34,0.618403573024297,0.977,0.791,1.61852221317841e-31,"Cluster 2","Phactr1"
1.91599753199451e-34,0.843089753930209,0.835,0.476,2.46397282614494e-31,"Cluster 2","Lmo4"
2.5249143502597e-34,0.747838689241033,0.922,0.542,3.24703985443397e-31,"Cluster 2","Adgrl2"
3.31842645870379e-34,0.786631952795911,0.844,0.465,4.26749642589308e-31,"Cluster 2","Gabra2"
3.74007976622519e-34,0.566943085976145,1,0.934,4.8097425793656e-31,"Cluster 2","Camk2a"
5.04314184741413e-34,0.671380403955277,0.739,0.298,6.48548041577458e-31,"Cluster 2","Nrg1"
7.24019268321983e-34,0.628260695551909,0.972,0.77,9.31088779062071e-31,"Cluster 2","Homer1"
8.7295369254827e-34,0.701817507285315,0.849,0.422,1.12261844861708e-30,"Cluster 2","Pak7"
5.67264585257894e-33,0.695921904018743,0.931,0.62,7.29502256641651e-30,"Cluster 2","Dgkh"
1.03849590434342e-32,0.774251407520811,0.606,0.209,1.33550573298563e-29,"Cluster 2","Ppfibp1"
1.08955254318821e-32,0.643468607105228,0.812,0.395,1.40116457054004e-29,"Cluster 2","Actn1"
2.70831736360677e-32,0.764886696303545,0.95,0.59,3.48289612959831e-29,"Cluster 2","Nell2"
2.72304601068992e-32,0.882846616961843,0.761,0.385,3.50183716974724e-29,"Cluster 2","Fat3"
3.21059029818395e-32,0.942139618389802,0.583,0.221,4.12881912346455e-29,"Cluster 2","Fras1"
3.52822754499274e-32,0.724489147696463,0.931,0.617,4.53730062286066e-29,"Cluster 2","Cdk14"
3.65668689795005e-32,0.805584531729358,0.564,0.186,4.70249935076376e-29,"Cluster 2","Vgll4"
1.16429742464817e-31,0.763076848139229,0.78,0.379,1.49728648809754e-28,"Cluster 2","Unc5d"
1.9193423215932e-31,0.799914285347247,0.61,0.223,2.46827422556885e-28,"Cluster 2","Nr4a2"
3.05288013376325e-31,0.731556792607776,0.899,0.582,3.92600385201954e-28,"Cluster 2","Arhgap20"
3.77957209262661e-31,0.695464491697001,0.858,0.427,4.86052971111783e-28,"Cluster 2","Pde1a"
6.24511147486307e-31,0.680494507988731,0.812,0.42,8.03121335667391e-28,"Cluster 2","Nyap2"
6.2947141795134e-31,0.608857476072584,0.968,0.806,8.09500243485423e-28,"Cluster 2","Fbxw7"
2.47328845290531e-30,0.646603361913318,0.592,0.205,3.18064895043623e-27,"Cluster 2","Ipcef1"
2.52666472464733e-30,0.825778026091967,0.716,0.343,3.24929083589647e-27,"Cluster 2","Ldb2"
3.27615937729209e-30,0.732620135646171,0.523,0.17,4.21314095919763e-27,"Cluster 2","Pde7b"
9.93426781563666e-30,0.684228848349441,0.867,0.496,1.27754684109087e-26,"Cluster 2","Grm7"
1.20596394904833e-29,0.810233196198707,0.601,0.222,1.55086963847615e-26,"Cluster 2","Hs3st2"
2.20633521695362e-29,0.756837336942294,0.725,0.337,2.83734708900235e-26,"Cluster 2","Cpne5"
3.07683276363473e-29,0.570302600808432,0.963,0.801,3.95680693403427e-26,"Cluster 2","Erc2"
3.26939116550796e-29,0.607517917517104,0.95,0.626,4.20443703884324e-26,"Cluster 2","Cacng3"
5.85561357556049e-29,0.687315121038151,0.546,0.185,7.53031905817079e-26,"Cluster 2","Ntng1"
6.6728965191085e-29,0.58340412822298,0.573,0.188,8.58134492357354e-26,"Cluster 2","Grm8"
8.85460702673047e-29,0.722073593087676,0.725,0.322,1.13870246363754e-25,"Cluster 2","Chsy3"
1.55130074453962e-28,0.70832680426828,0.656,0.283,1.99497275747795e-25,"Cluster 2","Fhod3"
2.01426208467299e-28,0.753327819335344,0.908,0.563,2.59034104088947e-25,"Cluster 2","Ctxn1"
2.75315148521452e-28,0.569159013611349,0.94,0.683,3.54055280998588e-25,"Cluster 2","Shank2"
4.02577053571499e-28,0.625522870978513,0.862,0.458,5.17714090892948e-25,"Cluster 2","Pde4b"
4.98599048027447e-28,0.708521476512783,0.716,0.322,6.41198375763297e-25,"Cluster 2","Kcnh1"
5.03799608780945e-28,0.731728541919647,0.821,0.452,6.47886296892295e-25,"Cluster 2","Sytl2"
5.49407529909839e-28,0.673781632575508,0.798,0.409,7.06538083464053e-25,"Cluster 2","Gda"
7.66398993891304e-28,0.664348965455168,0.784,0.386,9.85589106144217e-25,"Cluster 2","Synj2"
1.39027161381369e-27,0.632565325241907,0.972,0.738,1.78788929536441e-24,"Cluster 2","Atp1a1"
2.11389176663667e-27,0.674331766004583,0.936,0.674,2.71846481189476e-24,"Cluster 2","Phyhip"
5.23417349610873e-27,0.815655055548026,0.44,0.135,6.73114711599582e-24,"Cluster 2","Itgb8"
5.73627196908034e-27,0.50964121480722,0.991,0.839,7.37684575223732e-24,"Cluster 2","Sorbs2"
5.78875641703180e-27,0.510213167883794,0.532,0.185,7.44434075230289e-24,"Cluster 2","Hs6st3"
6.48389726812677e-27,0.57450135544258,0.959,0.748,8.33829188681103e-24,"Cluster 2","Dpp10"
8.3753427408722e-27,0.586838310827462,0.794,0.382,1.07706907647616e-23,"Cluster 2","Kcnt2"
8.40101607674489e-27,0.608600285546351,0.922,0.61,1.08037066746939e-23,"Cluster 2","Hecw1"
9.47971714085926e-27,0.726186707269882,0.679,0.298,1.2190916243145e-23,"Cluster 2","Grm3"
5.24174394014738e-26,0.682697860472734,0.812,0.456,6.74088270702952e-23,"Cluster 2","Slc39a10"
8.92288988951751e-26,0.575333051437082,0.954,0.705,1.14748363979195e-22,"Cluster 2","Kcnq5"
1.10061757855113e-25,0.652500322577186,0.697,0.323,1.41539420601676e-22,"Cluster 2","Lin7a"
