"","data","Val0","Val1","Val2","ttype","cellnames","gmm_cluster","col"
"1","Expr",0.0301205195889524,-0.0160504936532044,0.00750439033549212,"ET","20171204_sample_2",2,"#D95F02"
"2","Expr",0.0309123712954461,-0.0169767875324802,0.00970982626112902,"IT","20171204_sample_4",2,"#D95F02"
"3","Expr",0.0314589968130764,-0.0195653838011192,0.00799839035051302,"IT","20171204_sample_5",2,"#D95F02"
"4","Expr",0.0309679551425353,-0.0168408484936614,0.00907932974477408,"ET","20171204_sample_6",2,"#D95F02"
"5","Expr",0.0345599649644142,-0.0228911517371476,0.0225023126281153,"ET","20171207_sample_1",1,"#1B9E77"
"6","Expr",0.0349135272426981,-0.0236338779780356,0.0246602738112706,"ET","20171207_sample_2",1,"#1B9E77"
"7","Expr",0.025299946241633,-0.0151215321621514,-0.00801859320657069,"IT","20171207_sample_6",1,"#1B9E77"
"8","Expr",0.0277568844763704,-0.0177527796589139,5.24798159551698e-05,"IT","20171207_sample_7",1,"#1B9E77"
"9","Expr",0.0292661418915024,-0.0148546483791794,0.00597893939184813,"IT","20171219_sample_1",2,"#D95F02"
"10","Expr",0.0312773927241057,-0.0175527902077292,0.0105792928520142,"IT","20171219_sample_2",2,"#D95F02"
"11","Expr",0.0297255867616203,-0.0153641829454254,0.0072998774144251,"IT","20171219_sample_3",2,"#D95F02"
"12","Expr",0.0282693496195448,-0.0133329067814005,0.00590927525381692,"ET","20171219_sample_4",2,"#D95F02"
"13","Expr",0.0303881817429376,-0.0165916467911116,0.0136195734432296,"ET","20171219_sample_6",2,"#D95F02"
"14","Expr",0.0248258710530214,-0.00896064707206112,-0.00124564903893345,"IT","20171219_sample_7",1,"#1B9E77"
"15","Expr",0.0317754100526227,-0.0202428991065059,0.0165954854021517,"ET","20171219_sample_8",2,"#D95F02"
"16","Expr",0.0273707056606499,-0.0125386089347334,0.00777199037686297,"ET","20180102_sample_1",2,"#D95F02"
"17","Expr",0.0314849768819197,-0.0181420318378675,0.00984918547284387,"IT","20180102_sample_2",2,"#D95F02"
"18","Expr",0.0217203461310331,-0.00675406269806152,0.00284502086483888,"ET","20180102_sample_3",1,"#1B9E77"
"19","Expr",0.0330359472012315,-0.0206625602192098,0.0199811620488688,"ET","20180102_sample_4",2,"#D95F02"
"20","Expr",0.0308754298300253,-0.0174398158066079,0.00631590782057304,"IT","20180102_sample_5",2,"#D95F02"
"21","Expr",0.0154542361659967,-0.000807062187666815,-0.00130205378780873,"ET","20180103_sample_1",1,"#1B9E77"
"22","Expr",0.036222443129456,-0.0253203283134033,0.027966724614815,"ET","20180103_sample_2",1,"#1B9E77"
"23","Expr",0.0282906551113064,-0.0135557239898891,0.00570502181606147,"ET","20180103_sample_3",2,"#D95F02"
"24","Expr",0.0298427478895994,-0.0158918813045938,0.00791479509009801,"IT","20180103_sample_5",2,"#D95F02"
"25","Expr",0.0308578458753255,-0.0171139553636364,0.00871346476790229,"IT","20180103_sample_6",2,"#D95F02"
"26","Expr",0.0287221460247156,-0.014943575783538,0.00827411642269447,"IT","20180103_sample_7",2,"#D95F02"
"27","Expr",0.0286656812220554,-0.0146588903685644,0.00472769033765919,"IT","20180103_sample_8",2,"#D95F02"
"28","Expr",0.0293379867193229,-0.014745591986,0.00806853117564947,"IT","20180104_sample_2",2,"#D95F02"
"29","Expr",0.030899314510186,-0.0186539363965945,0.009698271586291,"IT","20180104_sample_3",2,"#D95F02"
"30","Expr",0.01184002914831,0.00406323509136544,-0.00930377906525237,"ET","20180104_sample_6",1,"#1B9E77"
"31","Expr",0.0292593601063107,-0.0163339284823556,0.00926792288408209,"IT","20180105_sample_4",2,"#D95F02"
"32","Expr",0.0310185119458145,-0.0173592353556194,0.00903195742758343,"IT","20180105_sample_5",2,"#D95F02"
"33","Expr",0.0306435360133326,-0.0164169785245443,0.00804059746422325,"IT","20180105_sample_6",2,"#D95F02"
"34","Expr",0.0312621438833395,-0.0177363069331104,0.00849217161832339,"IT","20180108_sample_1",2,"#D95F02"
"35","Expr",0.029429113098896,-0.0158261996985318,0.00700244688921099,"IT","20180108_sample_3",2,"#D95F02"
"36","Expr",0.0135990725103657,-0.00162776044087775,-0.00293079100907773,"ET","20180108_sample_4",1,"#1B9E77"
"37","Expr",0.0293707699615083,-0.0152511882223413,0.0103987113625788,"ET","20180108_sample_5",2,"#D95F02"
"38","Expr",0.0289921867068644,-0.0156104925406316,0.00532097298245949,"IT","20180108_sample_7",2,"#D95F02"
"39","Expr",0.0206766410038058,-0.0039510892250234,0.00160417338674737,"ET","20180108_sample_8",1,"#1B9E77"
"40","Expr",0.0242076556184407,-0.00966546614115369,-0.0120129688037869,"IT","20180108_sample_9",1,"#1B9E77"
"41","Expr",0.0229529517807882,-0.00668559964322418,-0.003571430514876,"ET","20180108_sample_10",1,"#1B9E77"
"42","Expr",0.0273669471100279,-0.0157129485705289,0.00865429736658181,"IT","20180109_sample_1",2,"#D95F02"
"43","Expr",0.0281994470314545,-0.0141237947952609,0.00883927534381086,"IT","20180109_sample_2",2,"#D95F02"
"44","Expr",0.0283980136589061,-0.013158094299681,0.00356050639566797,"IT","20180109_sample_5",2,"#D95F02"
"45","Expr",0.0272572256343099,-0.0129478280614528,0.00264070271328413,"IT","20180110_sample_1",2,"#D95F02"
"46","Expr",0.0294491567041372,-0.0151918115217948,0.00646792435657358,"IT","20180110_sample_2",2,"#D95F02"
"47","Expr",0.0288084267669306,-0.0145724346036959,0.00495014753844307,"IT","20180110_sample_3",2,"#D95F02"
"48","Expr",0.0272001577670625,-0.0120233190499478,-0.000478266584465232,"IT","20180110_sample_4",2,"#D95F02"
"49","Expr",0.0294751001929083,-0.0149690281938162,0.00588605629676841,"IT","20180110_sample_5",2,"#D95F02"
"50","Expr",0.0288840388387702,-0.013953006067106,0.00465328780285218,"IT","20180110_sample_7",2,"#D95F02"
"51","Expr",0.0227190563607627,-0.00733483153414059,0.00227697551489815,"ET","20180110_sample_8",1,"#1B9E77"
"52","Expr",0.026881523171022,-0.0149982015691971,0.00550409098530479,"IT","20180111_sample_5",2,"#D95F02"
"53","Expr",0.0292724613366904,-0.0165140592225014,0.00299212765579367,"IT","20180115_sample_2",2,"#D95F02"
"54","Expr",0.0315738798702037,-0.0183401763340906,0.00788163741254908,"IT","20180115_sample_5",2,"#D95F02"
"55","Expr",0.0323495882909547,-0.0207908578502642,0.0146011940982242,"IT","20180115_sample_7",2,"#D95F02"
"56","Expr",0.0254312624152999,-0.0101471766075594,0.00350452219211832,"IT","20180115_sample_8",2,"#D95F02"
"57","Expr",0.0280384370372896,-0.0147648919084731,0.00753556537726544,"IT","20180115_sample_9",2,"#D95F02"
"58","Expr",0.0248365359256797,-0.0147093133901721,0.00649364235297672,"IT","20180118_sample_1",2,"#D95F02"
"59","Expr",0.0286588194626854,-0.0142589058993478,0.00685757338353837,"IT","20180118_sample_2",2,"#D95F02"
"60","Expr",0.0251066798728707,-0.0142255578009846,0.0071439026020143,"IT","20180118_sample_4",2,"#D95F02"
"61","Expr",0.0316701321318317,-0.0180337835472351,0.00997232169411323,"IT","20180118_sample_6",2,"#D95F02"
"62","Expr",0.0348303123558771,-0.0232672247747278,0.0239081654892341,"ET","20180118_sample_7",1,"#1B9E77"
"63","Expr",0.0348621081481784,-0.0240560631656398,0.0225971001991755,"ET","20180118_sample_10",1,"#1B9E77"
"64","Expr",0.035879051183173,-0.0243316475466518,0.0234590111084777,"ET","20180123_sample_1",1,"#1B9E77"
"65","Expr",0.025027926852381,-0.00931931884244429,0.00239391319048905,"ET","20180123_sample_3",1,"#1B9E77"
"66","Expr",0.0132198293821408,0.00110783886333397,-0.00556934759485812,"ET","20180123_sample_5",1,"#1B9E77"
"67","Expr",0.0329909791514923,-0.0205408676762594,0.0180660328639009,"ET","20180123_sample_6",2,"#D95F02"
"68","Expr",0.0291546104677998,-0.0143550790461436,0.00832894702495233,"ET","20180123_sample_7",2,"#D95F02"
"69","Expr",0.0242668316070526,-0.00860708884827349,0.00654613331893633,"ET","20180208_sample_2",1,"#1B9E77"
